id,group_id,sender_id,message
53,6,23,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere
54,5,39,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
55,8,35,tellus nulla ut erat id mauris vulputate elementum
56,12,48,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
57,2,33,proin at turpis a pede posuere nonummy integer non velit donec
58,6,41,aliquam non mauris morbi non lectus aliquam sit amet diam in magna
59,2,49,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
60,2,11,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci
61,4,1,non velit nec nisi vulputate nonummy maecenas
62,9,11,suspendisse potenti in eleifend quam a odio in
63,10,18,in imperdiet et commodo vulputate justo in blandit ultrices enim
64,4,40,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
65,15,20,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
66,8,30,aliquam non mauris morbi non lectus
67,10,18,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque
68,1,50,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
69,12,33,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
70,3,28,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
71,7,19,in imperdiet et commodo vulputate justo in blandit ultrices enim
72,1,32,consequat in consequat ut nulla sed accumsan felis ut at dolor quis
73,14,31,dui vel sem sed sagittis nam congue risus semper
74,1,42,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in
75,5,5,aenean sit amet justo morbi ut odio cras mi
76,11,29,rutrum nulla nunc purus phasellus in
77,10,21,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel
78,7,44,velit vivamus vel nulla eget eros elementum pellentesque quisque porta
79,12,46,aliquet ultrices erat tortor sollicitudin mi
80,11,36,amet consectetuer adipiscing elit proin interdum mauris non
81,15,32,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo
82,12,8,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis
83,7,20,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper
84,8,16,duis mattis egestas metus aenean fermentum
85,7,19,aenean lectus pellentesque eget nunc donec
86,3,49,at nulla suspendisse potenti cras in purus eu magna vulputate
87,11,6,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
88,7,20,amet sapien dignissim vestibulum vestibulum ante ipsum primis
89,3,28,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
90,15,20,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
91,13,26,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
92,6,49,cubilia curae nulla dapibus dolor vel est donec odio
93,5,5,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
94,5,9,parturient montes nascetur ridiculus mus etiam vel augue
95,3,1,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis
96,8,6,magna at nunc commodo placerat
97,10,18,morbi ut odio cras mi pede malesuada
98,15,30,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
99,1,39,laoreet ut rhoncus aliquet pulvinar sed nisl
100,13,10,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
